Station (alphabetical by borough),,Boro,2014,2015,2016,2017,2018,2019,2018-2019 Change,,2019 Rank
Halsey St (L),,B,"7,720","7,932","8,426","8,781","8,386","7,391",-995,-11.90%,205
"Hewes St (J,M)",,B,"2,859","2,992","2,866","2,861","2,782","3,281",499,17.90%,358
"High St (A,C)",,B,"8,174","8,479","8,701","9,215","10,281","10,776",495,4.80%,147
"Hoyt St (2,3)",,B,"7,138","7,342","7,615","7,637","6,938","7,467",529,7.60%,202
"Hoyt-Schermerhorn Sts (A,C,G)",,B,"9,672","9,818","9,894","10,319","10,540","11,238",698,6.60%,141
"Jay St-MetroTech (A,C,F,R)",,B,"41,405","43,456","44,267","43,833","42,274","41,455",-819,-1.90%,22
Jefferson St (L),,B,"7,230","7,565","7,639","7,807","7,674","7,221",-453,-5.90%,212
Junius St (3),46,B,"2,361","3,043","2,230",970,"2,080","2,216",136,6.50%,396
"Kings Hwy (B,Q)",,B,"19,010","19,500","20,094","19,975","19,569","19,745",176,0.90%,71
Kings Hwy (F),,B,"3,616","3,726","4,637","5,186","4,567","3,724",-843,-18.50%,339
Kings Hwy (N),47,B,"5,344","5,482","1,489","2,891","3,328","4,363","1,035",31.10%,317
Kingston Av (3),,B,"5,017","4,999","4,977","4,703","4,623","4,697",74,1.60%,302
Kingston-Throop Avs (C),,B,"5,968","6,210","6,350","6,564","6,585","6,643",58,0.90%,233
Knickerbocker Av (M),49,B,"3,806","4,104","4,228","2,077","2,446","4,522","2,076",84.90%,309
Kosciuszko St (J),,B,"4,761","4,927","5,118","6,143","6,144","5,562",-582,-9.50%,270
Lafayette Av (C),,B,"4,857","4,849","4,888","4,843","4,889","4,928",39,0.80%,290
Liberty Av (C),,B,"2,639","2,780","3,020","2,933","2,754","2,749",-5,-0.20%,378
Livonia Av (L),,B,"3,078","3,269","3,418","3,264","3,209","2,831",-378,-11.80%,377
"Lorimer St (J,M)",,B,"4,836","5,070","5,138","5,161","4,837","5,216",379,7.80%,280
Lorimer St (L)/Metropolitan Av (G),,B,"14,573","15,131","15,082","14,752","14,299","13,985",-314,-2.20%,111
"Marcy Av (J,M,Z)",,B,"12,547","13,276","13,815","13,377","13,315","14,255",940,7.10%,108
Montrose Av (L),,B,"6,961","7,025","7,007","7,021","6,884","6,515",-369,-5.40%,238
Morgan Av (L),,B,"7,298","7,221","7,592","7,769","7,510","6,944",-566,-7.50%,220
"Myrtle Av (J,M,Z)",,B,"11,048","11,424","11,801","13,222","12,122","11,970",-152,-1.30%,130
Myrtle-Willoughby Avs (G),,B,"5,330","5,783","5,889","5,743","5,736","5,919",183,3.20%,254
"Myrtle-Wyckoff Avs (L,M)",,B,"19,203","19,490","19,673","22,434","21,241","18,735","-2,506",-11.80%,75
Nassau Av (G),,B,"8,765","9,066","9,150","9,105","9,312","9,841",529,5.70%,165
Neck Rd (Q),,B,"4,033","4,207","4,354","4,441","4,405","4,401",-4,-0.10%,314
Neptune Av (F),50,B,"1,698","1,807","1,742","1,658","1,516","1,456",-60,-4.00%,413
"Nevins St (2,3,4,5)",,B,"11,752","10,896","10,716","10,699","10,426","10,205",-221,-2.10%,156
New Lots Av (3),,B,"6,626","7,133","6,855","6,087","5,573","5,454",-119,-2.10%,274
New Lots Av (L),,B,"5,005","5,244","5,431","5,290","4,869","4,168",-701,-14.40%,326
New Utrecht Av (N)/62 St (D),51,B,"5,270","5,551","5,602","5,217","4,673","4,736",63,1.30%,299
"Newkirk Av (2,5)",,B,"8,015","8,035","7,840","7,600","7,312","7,182",-130,-1.80%,213
"Newkirk Plaza (B,Q)",,B,"10,707","10,864","10,842","10,728","10,534","10,514",-20,-0.20%,153
"Norwood Av (J,Z)",,B,"3,603","3,639","3,613","3,437","3,190","3,156",-34,-1.10%,369
Nostrand Av (3),,B,"4,268","4,306","4,239","4,066","3,907","4,195",288,7.40%,325
"Nostrand Av (A,C)",,B,"17,062","17,790","18,231","18,035","17,437","17,352",-85,-0.50%,83
Ocean Pkwy (Q),53,B,"3,124","3,203","3,211","3,251","3,199","3,242",43,1.30%,362
Park Pl (S),,B,"1,968","1,922","1,850","1,818","1,725","1,676",-49,-2.80%,408
Parkside Av (Q),54,B,"4,969","5,266","5,524","5,898","6,050","6,173",123,2.00%,249
Pennsylvania Av (3),55,B,"5,718","6,997","2,485","3,503","4,331","4,493",162,3.80%,310
"President St (2,5)",,B,"4,092","4,120","4,114","4,113","4,019","3,558",-461,-11.50%,346
Prospect Av (R),57,B,"5,943","5,896","5,842","3,199","5,523","5,967",444,8.00%,253
"Prospect Park (B,Q,S)",,B,"9,715","10,033","9,995","10,234","10,059","10,152",93,0.90%,158
Ralph Av (C),,B,"5,570","5,796","5,801","5,936","5,768","5,730",-38,-0.70%,261
Rockaway Av (3),58,B,"5,735","1,690","5,122","5,642","4,747","4,780",33,0.70%,296
Rockaway Av (C),,B,"5,223","5,443","5,678","5,715","5,667","5,653",-14,-0.30%,266
Saratoga Av (3),59,B,"5,933","8,148","4,006","5,777","5,246","5,238",-8,-0.20%,279
"Sheepshead Bay (B,Q)",,B,"14,118","14,304","14,477","14,311","13,946","13,908",-38,-0.30%,112
Shepherd Av (C),,B,"3,263","3,370","3,393","3,337","3,182","3,153",-29,-0.90%,370
"Smith-9 Sts (F,G)",,B,"4,762","5,084","4,861","4,714","4,689","4,553",-136,-2.90%,307
"Sterling St (2,5)",,B,"5,783","5,802","5,806","5,795","5,684","5,468",-216,-3.80%,273
Sutter Av (L),,B,"4,675","4,727","4,688","4,471","4,029","3,446",-583,-14.50%,352
Sutter Av-Rutland Rd (3),60,B,"8,084","8,031","6,785","3,449","6,657","6,724",67,1.00%,228
Union St (R),,B,"6,415","6,599","6,512","6,395","6,835","7,375",540,7.90%,207
"Utica Av (A,C)",,B,"15,117","15,674","16,060","16,408","16,121","15,957",-164,-1.00%,90
Van Siclen Av (3),61,B,"3,438",989,"4,194","3,660","2,904","2,833",-71,-2.40%,376
Van Siclen Av (C),,B,"3,050","3,202","3,224","3,259","3,021","2,920",-101,-3.30%,374
"Van Siclen Av (J,Z)",,B,"2,940","3,004","3,067","2,900","2,678","2,614",-64,-2.40%,384
"West 8 St-New York Aquarium (F,Q)",62,B,"2,262","2,397","2,421","2,404","2,469","2,471",2,0.10%,389
Wilson Av (L),63,B,"4,248","4,437","3,812","4,564","4,468","4,292",-176,-3.90%,319
"Winthrop St (2,5)",,B,"7,720","7,541","7,272","7,317","7,262","6,499",-763,-10.50%,239
York St (F),,B,"8,973","9,328","10,246","10,373","11,032","12,638","1,606",14.60%,124
