Station (alphabetical by borough),,Boro,2014,2015,2016,2017,2018,2019,2018-2019 Change,,2019 Rank
Kings Hwy (N),47,B,"5,945","5,696","1,712","3,205","3,384","4,741","1,357",40.10%,291
Kingston Av (3),,B,"5,189","5,430","5,219","5,057","4,831","4,997",166,3.40%,284
Kingston-Throop Avs (C),,B,"6,701","7,536","7,544","7,644","7,775","6,633","-1,142",-14.70%,230
Knickerbocker Av (M),49,B,"3,274","4,468","3,846","1,121","2,764","7,239","4,475",161.90%,215
Kosciuszko St (J),,B,"5,663","6,200","6,517","7,671","6,276","6,638",362,5.80%,229
Lafayette Av (C),,B,"7,002","7,329","7,245","7,201","7,153","6,352",-801,-11.20%,240
Liberty Av (C),,B,"2,488","2,773","2,765","2,588","2,540","2,461",-79,-3.10%,374
Livonia Av (L),,B,"3,715","3,039","3,126","3,461","3,228","2,468",-760,-23.50%,373
"Lorimer St (J,M)",,B,"4,933","5,920","5,194","5,583","4,795","7,690","2,895",60.40%,203
Lorimer St (L)/Metropolitan Av (G),,B,"25,444","25,640","24,167","23,285","21,801","20,984",-817,-3.70%,64
"Marcy Av (J,M,Z)",,B,"13,774","15,165","13,808","14,486","14,365","19,904","5,539",38.60%,71
Montrose Av (L),,B,"10,343","10,039","10,119","9,644","8,943","5,051","-3,892",-43.50%,282
Morgan Av (L),,B,"12,074","11,294","12,480","11,465","10,167","6,127","-4,040",-39.70%,247
"Myrtle Av (J,M,Z)",,B,"13,088","14,285","13,814","15,648","12,912","14,828","1,916",14.80%,103
Myrtle-Willoughby Avs (G),,B,"6,669","7,382","7,043","5,547","5,594","5,720",126,2.30%,259
"Myrtle-Wyckoff Avs (L,M)",,B,"27,345","27,639","27,784","29,498","27,320","21,216","-6,104",-22.30%,60
Nassau Av (G),,B,"9,747","11,249","9,560","8,243","9,386","11,631","2,245",23.90%,149
Neck Rd (Q),,B,"3,758","4,290","4,119","4,594","4,492","4,424",-68,-1.50%,306
Neptune Av (F),50,B,"1,485","1,282","1,254","1,039",843,"1,055",212,25.20%,414
"Nevins St (2,3,4,5)",,B,"10,877","9,902","8,999","10,231","10,364","10,221",-143,-1.40%,164
New Lots Av (3),,B,"6,407","6,055","5,686","4,803","4,085","4,615",530,13.00%,295
New Lots Av (L),,B,"5,651","4,697","4,706","5,387","4,739","3,516","-1,223",-25.80%,340
New Utrecht Av (N)/62 St (D),51,B,"6,881","8,226","6,504","5,972","5,748","5,402",-346,-6.00%,271
"Newkirk Av (2,5)",,B,"7,145","7,853","7,192","7,008","6,555","5,486","-1,069",-16.30%,268
"Newkirk Plaza (B,Q)",,B,"10,490","12,210","10,122","11,558","10,554","10,527",-27,-0.30%,160
"Norwood Av (J,Z)",,B,"4,167","4,249","4,099","3,482","2,835","2,651",-184,-6.50%,362
Nostrand Av (3),,B,"4,925","5,241","5,032","4,770","4,656","5,551",895,19.20%,265
"Nostrand Av (A,C)",,B,"19,979","22,586","22,197","22,803","21,559","21,949",390,1.80%,58
Ocean Pkwy (Q),53,B,"3,167","3,751","3,597","3,548","3,712","3,757",45,1.20%,328
Park Pl (S),,B,"1,958","2,072","1,903","2,068","1,793","1,702",-91,-5.10%,399
Parkside Av (Q),54,B,"6,381","6,387","6,844","8,295","8,010","6,941","-1,069",-13.30%,225
Pennsylvania Av (3),55,B,"5,303","5,902","2,206","3,027","3,211","3,927",716,22.30%,325
"President St (2,5)",,B,"3,255","3,520","3,204","3,296","3,132","2,361",-771,-24.60%,378
Prospect Av (R),57,B,"5,792","5,240","4,944","2,690","4,281","4,819",538,12.60%,289
"Prospect Park (B,Q,S)",,B,"15,404","14,105","13,301","15,104","13,368","13,568",200,1.50%,115
Ralph Av (C),,B,"6,719","7,162","6,984","7,063","7,005","6,774",-231,-3.30%,227
Rockaway Av (3),58,B,"5,536","1,777","4,078","4,590","3,694","4,241",547,14.80%,314
Rockaway Av (C),,B,"5,680","6,136","6,188","6,268","6,390","6,376",-14,-0.20%,237
Saratoga Av (3),59,B,"5,137","6,568","3,373","4,288","3,642","4,040",398,10.90%,321
"Sheepshead Bay (B,Q)",,B,"11,092","11,984","11,562","12,146","11,595","11,508",-87,-0.70%,151
Shepherd Av (C),,B,"3,586","3,669","3,529","3,486","3,303","3,188",-115,-3.50%,349
"Smith-9 Sts (F,G)",,B,"6,001","6,299","5,391","5,289","5,023","5,096",73,1.40%,281
"Sterling St (2,5)",,B,"5,705","6,267","5,869","5,750","5,574","4,760",-814,-14.60%,290
Sutter Av (L),,B,"5,625","4,488","4,318","4,701","4,028","3,093",-935,-23.20%,353
